Some weights of the model checkpoint at bert-base-uncased were not used when initializing BertModel: ['cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Model Initialized
Starting training epoch 0
Iter: 0 | Loss: 0.7589778304100037 | Accuracy: 0.0
Iter: 100 | Loss: 0.6983238017559051 | Accuracy: 0.22
Iter: 200 | Loss: 0.6087777578830719 | Accuracy: 0.23
Iter: 300 | Loss: 0.5765742176771164 | Accuracy: 0.27
Iter: 400 | Loss: 0.5705218100547791 | Accuracy: 0.26
Iter: 500 | Loss: 0.5698317793011666 | Accuracy: 0.22
Iter: 600 | Loss: 0.5745794108510017 | Accuracy: 0.24
Iter: 700 | Loss: 0.5755291125178337 | Accuracy: 0.26
Iter: 800 | Loss: 0.5728484737873077 | Accuracy: 0.24
Iter: 900 | Loss: 0.573181292116642 | Accuracy: 0.26
Iter: 1000 | Loss: 0.5723668935894967 | Accuracy: 0.23
Iter: 1100 | Loss: 0.5702445867657662 | Accuracy: 0.2
Iter: 1200 | Loss: 0.5702309054136276 | Accuracy: 0.25
Iter: 1300 | Loss: 0.5649966558814049 | Accuracy: 0.25
Iter: 1400 | Loss: 0.5618402767181396 | Accuracy: 0.29
Iter: 1500 | Loss: 0.5641415214538574 | Accuracy: 0.23
Iter: 1600 | Loss: 0.5649709233641624 | Accuracy: 0.25
Iter: 1700 | Loss: 0.564443011879921 | Accuracy: 0.28
Iter: 1800 | Loss: 0.5667173567414284 | Accuracy: 0.26
Iter: 1900 | Loss: 0.561502069234848 | Accuracy: 0.29
Iter: 2000 | Loss: 0.5648123466968537 | Accuracy: 0.27
Iter: 2100 | Loss: 0.5618704849481583 | Accuracy: 0.29
Iter: 2200 | Loss: 0.5615933895111084 | Accuracy: 0.29
Iter: 2300 | Loss: 0.5669196659326553 | Accuracy: 0.25
Iter: 2400 | Loss: 0.5717230960726738 | Accuracy: 0.24
Iter: 2500 | Loss: 0.5676066061854362 | Accuracy: 0.26
Iter: 2600 | Loss: 0.5564124137163162 | Accuracy: 0.36
Iter: 2700 | Loss: 0.554417698085308 | Accuracy: 0.33
Iter: 2800 | Loss: 0.5631763723492622 | Accuracy: 0.31
Iter: 2900 | Loss: 0.5594937336444855 | Accuracy: 0.31
Iter: 3000 | Loss: 0.5729934060573578 | Accuracy: 0.19
Iter: 3100 | Loss: 0.5669026499986649 | Accuracy: 0.22
Iter: 3200 | Loss: 0.5519644784927368 | Accuracy: 0.38
Iter: 3300 | Loss: 0.5656071189045906 | Accuracy: 0.27
Iter: 3400 | Loss: 0.5571994036436081 | Accuracy: 0.34
Iter: 3500 | Loss: 0.5618230408430099 | Accuracy: 0.32
Iter: 3600 | Loss: 0.5594570741057396 | Accuracy: 0.35
Iter: 3700 | Loss: 0.5647227144241334 | Accuracy: 0.28
Iter: 3800 | Loss: 0.5631999361515045 | Accuracy: 0.28
Iter: 3900 | Loss: 0.5669800156354904 | Accuracy: 0.28
Iter: 4000 | Loss: 0.5559071758389473 | Accuracy: 0.36
Iter: 4100 | Loss: 0.562640386223793 | Accuracy: 0.34
Iter: 4200 | Loss: 0.5623400121927261 | Accuracy: 0.33
Iter: 4300 | Loss: 0.5553783151507378 | Accuracy: 0.37
Iter: 4400 | Loss: 0.5565107768774032 | Accuracy: 0.36
Iter: 4500 | Loss: 0.5547286438941955 | Accuracy: 0.36
Iter: 4600 | Loss: 0.5646557512879372 | Accuracy: 0.29
Iter: 4700 | Loss: 0.5580615201592445 | Accuracy: 0.33
Iter: 4800 | Loss: 0.5626328670978546 | Accuracy: 0.28
Iter: 4900 | Loss: 0.5572952237725258 | Accuracy: 0.36
Iter: 4956 | Loss: 0.5634067516241755 | Accuracy: 0.32142857142857145
Validating epoch 0
Saving model...
Epoch: 0 complete | Train Loss: 0.567959725856781 | Train Accuracy: 0.28464797256405083 | Valid Accuracy: 0.404
Starting training epoch 1
Iter: 0 | Loss: 0.5192192196846008 | Accuracy: 1.0
Iter: 100 | Loss: 0.5637839409708977 | Accuracy: 0.27
Iter: 200 | Loss: 0.5638735401630401 | Accuracy: 0.25
Iter: 300 | Loss: 0.5582599899172783 | Accuracy: 0.32
