train_loss,train_accuracy,valid_accuracy
0.5679597,0.28464797256405083,0.404
0.55881256,0.33145047407706274,0.434
0.55570906,0.3617107121242687,0.442
0.55319303,0.3956021787371394,0.438
0.5518726,0.40306637078878355,0.424
0.5509969,0.4010490215856365,0.448
0.5505096,0.40548718983256,0.452
0.5486751,0.4169860802904983,0.458
0.54859334,0.4115392374420012,0.462
0.54715955,0.42545894694371594,0.464
0.54676723,0.4252572120234013,0.466
0.54556763,0.4424046802501513,0.466
0.5464538,0.42606415170466005,0.478
0.5457016,0.4246520072624571,0.48
0.5454824,0.4311075247125277,0.466
